,Department Average,MB,WB,CC,CW,FH,WG,HC,WH,LM,LW,MC,WC,LR,SC,WS,SB,SM,SG,MT,TW,TR,WT
Effectiveness of head coach's leadership and direction for the team,3.10,2.88,1.77,4.00,3.63,3.00,3.00,2.22,2.88,3.51,3.03,2.29,3.25,3.53,3.58,2.55,3.67,3.86,3.63,2.88,3.50,2.79,2.76
Effectiveness of head coach's communication skills,2.90,3.18,2.15,3.71,3.11,3.24,2.40,2.26,2.58,3.19,2.97,1.96,3.24,2.73,3.00,2.13,3.33,3.43,3.27,3.63,3.20,2.71,2.48
Effectiveness of assistant coach's communication skills,3.37,3.59,2.69,3.63,3.53,2.90,N/A,3.78,2.58,3.70,3.06,3.25,3.55,3.40,3.81,3.16,3.83,3.67,3.40,3.29,3.30,3.68,3.00
Effectiveness of student-athlete leadership within your team,3.26,2.29,2.85,3.75,3.68,3.38,3.75,3.77,2.96,3.63,2.65,2.71,3.21,3.20,2.85,3.00,3.72,3.43,3.47,3.25,3.10,3.61,3.38
Confidence in the quality of care provided to you by your Athletic Trainer,3.40,3.76,3.23,3.07,3.19,3.76,3.60,3.44,3.92,3.40,3.71,3.89,3.53,3.73,3.88,3.61,4.00,2.92,3.07,2.57,2.90,2.69,2.92
"When injured, the extent to which Athletic Training communicated care plan",3.55,3.88,3.45,3.07,3.33,3.94,3.80,3.88,3.96,3.72,3.70,3.81,3.63,3.58,3.96,3.79,3.94,3.10,3.08,3.29,3.25,2.85,3.10
"Appropriate communication, monitoring and individual assistance by strength and conditioning staff",3.61,3.53,3.62,3.71,3.84,3.71,3.60,3.96,4.00,3.70,3.37,3.68,3.53,3.50,3.85,3.84,3.72,3.58,3.79,3.75,3.60,2.89,2.67
Extent to which the strength and conditioning program that was provided prepared you for the demands of your sport,3.55,3.59,3.77,3.48,3.89,3.47,3.20,4.00,4.00,3.67,3.43,3.71,3.53,3.69,3.88,3.77,3.83,3.41,3.67,3.00,3.20,3.14,2.69
"Accessibility, knowledge, and quality of resources provided by Student-Athlete Support Services (academic counseling, tutoring, graduate course exploration)",3.34,3.44,3.31,2.88,3.69,3.33,2.50,3.58,3.38,3.52,3.61,3.69,3.05,2.83,3.40,3.46,3.41,3.70,3.42,3.00,3.50,3.23,3.55
"Accessibility, effectiveness, and knowledge of student-athlete development workshops and events (eg. Athlete Ally, BFLA, community service, SAAC, Student-Athletes of Color, Terrier Network Career Development, etc.)",3.43,3.44,3.36,3.73,3.80,3.58,2.80,3.58,3.75,3.19,3.40,3.50,3.35,3.36,3.64,3.73,3.50,3.67,3.50,2.67,3.14,3.43,3.36
