,Department Average,MB,WB,CC,CW,FH,WG,HC,WH,LM,LW,MC,WC,LR,SC,WS,SB,SM,SG,MT,TW,TR,WT
Effectiveness of head coach's leadership and direction for the team,3.38,3.07,3.83,3.73,3.46,3.50,3.75,2.67,3.32,3.09,3.21,3.50,3.36,3.89,3.82,3.15,3.85,3.91,4.00,2.58,3.82,2.38,2.39
Effectiveness of head coach's communication skills,3.13,3.29,3.33,3.50,3.15,3.40,4.00,2.33,2.64,2.93,2.92,2.90,3.18,3.32,3.36,2.62,3.45,3.81,3.89,2.92,3.64,2.27,1.91
Effectiveness of assistant coach's communication skills,3.47,3.50,3.50,3.62,3.85,3.20,4.00,3.04,3.36,3.48,2.92,3.70,3.20,3.33,3.86,3.31,3.95,3.85,3.85,2.67,3.64,3.39,3.19
Effectiveness of student-athlete leadership within your team,3.36,2.57,3.25,3.65,3.92,3.70,4.00,3.58,2.73,3.05,2.88,3.60,3.40,3.35,3.00,3.58,3.60,3.05,3.50,3.67,3.82,3.13,2.94
Confidence in the quality of care provided to you by your Athletic Trainer,3.53,3.92,3.83,3.42,3.20,3.70,4.00,3.92,3.90,3.36,3.42,3.63,3.64,3.83,3.81,3.48,3.90,3.21,3.83,2.50,3.44,3.03,2.67
Extent to which your Athletic Trainer understood sport specific needs and demands,3.58,3.92,3.91,3.39,3.44,3.90,3.67,3.91,3.67,3.56,3.83,4.00,3.82,3.78,3.73,3.60,4.00,3.43,3.88,2.50,3.20,3.13,2.48
Appropriate monitoring and individual assistance by strength and conditioning staff,3.61,3.79,3.25,3.81,3.92,3.89,3.75,3.29,2.82,3.51,3.57,3.90,3.55,4.00,3.07,3.92,4.00,3.64,3.65,3.18,3.45,3.95,3.52
Extent to which the strength and conditioning program that was provided prepared you for the demands of your sport,3.52,3.86,3.17,3.65,3.85,3.80,4.00,3.17,2.45,3.60,3.46,3.90,3.36,3.94,3.12,3.85,4.00,3.18,3.55,2.82,3.45,3.66,3.50
"Accessibility, knowledge, and quality of resources provided by Student-Athlete Support Services (academic counseling, tutoring, graduate course exploration)",3.57,3.92,3.50,3.63,3.55,3.56,4.00,3.79,3.45,3.57,3.75,3.88,3.25,3.21,3.69,3.52,3.36,3.42,3.53,3.22,3.90,3.46,3.41
"Accessibility, effectiveness, and knowledge of student-athlete development workshops and events (eg. Athlete Ally, BFLA, community service, SAAC, Student-Athletes of Color, Terrier Network Career Development, etc.)",3.53,3.57,3.73,3.82,3.75,3.84,3.50,3.75,3.65,3.30,3.65,3.75,2.90,3.44,3.46,3.65,3.93,3.25,3.70,2.25,3.60,3.52,3.59
Quality and quantity of necessary apparel and equipment provided for your sport,2.66,2.64,3.17,2.73,2.85,3.10,3.50,2.79,3.41,3.27,3.04,2.20,3.55,3.06,2.59,2.27,2.60,1.95,1.55,1.45,2.09,2.61,2.03
Adequate attention to safety while traveling for or engaging in practice and competition,3.74,3.57,3.91,3.91,3.75,3.79,4.00,3.83,3.82,3.48,3.88,3.90,3.67,3.94,3.81,3.56,3.85,3.73,4.00,3.09,3.82,3.73,3.30
"Effectiveness of communication about COVID-19 protocols, changes, and implementation of those measures",3.40,2.93,4.00,3.33,3.15,3.25,4.00,3.42,2.64,3.26,3.67,3.60,3.80,3.18,3.81,3.27,3.95,3.32,3.75,2.82,3.73,2.95,2.94
Accessibility and effectiveness of athletics administrators to answer questions or address student-athlete concerns,3.33,2.93,3.75,3.00,2.92,3.60,4.00,3.74,2.90,2.90,3.71,3.75,3.33,3.35,3.73,3.40,3.79,3.00,3.38,2.45,3.56,3.24,2.86
"Accepting, welcoming environment for diversity provided within the BU athletics community",3.73,3.64,3.64,3.79,4.00,3.90,3.50,3.92,3.77,3.71,3.78,4.00,3.60,3.81,3.92,3.69,3.85,3.81,3.79,3.18,3.82,3.78,3.19
"Similar performance expectations, behavioral standards and support provided compared to your male/female counterparts",3.49,3.75,3.42,3.84,4.00,3.39,4.00,3.83,1.95,3.65,3.38,3.60,3.30,3.00,3.84,3.27,3.50,3.86,3.70,2.91,3.90,3.62,3.17
"Ability to successfully manage time demands and achieve appropriate balance between academics, athletics, and community and social experiences",3.44,3.36,3.42,3.73,3.31,3.40,4.00,3.67,3.50,3.27,3.38,3.20,3.18,3.72,3.41,3.35,3.35,3.50,3.55,2.91,3.82,3.35,3.25
